Rubric Guide,,,,,,,
"Use 0, 1, or 2 in the Gradebook. Leave only non-applicable cells blank. Applicable counts are automated from the Type and Graph columns. Bonus cells are optional and blank bonus cells count as 0 bonus.",,,,,,,
Code,Category,Applies to,Criterion,0 = Not met,1 = Partially met,2 = Fully met,Announcement basis
PF1,Problem & Fit (15%),All,Specific problem / question,"Problem or research question is vague, too broad, or not testable/measurable.","A problem/question exists, but scope, target, or success criterion is still fuzzy.","Problem/question is specific, scoped, and measurable; inputs, outputs, and objective are clear.","General ML requirement: clear problem formulation. Evaluation criterion 1: realism, clarity, relevance."
PF2A,Problem & Fit (15%),Option A only,A: user / decision / deployer / payer,"No clear user, decision being automated/augmented, deployer, or payer.","Some stakeholders are mentioned, but deployment or use context is incomplete.","Clearly identifies the user, the decision being automated/augmented, and a realistic deployer or payer.","Option A mandatory requirements: define decision, who would deploy/pay."
PF2B,Problem & Fit (15%),Option B only,B: research question + target venue/benchmark,Research question or target venue/benchmark is missing.,"Both are mentioned, but the match is weak, vague, or under-justified.",Clear research question and an appropriate target venue/benchmark are explicitly stated.,Option B mandatory conditions: research question and target venue.
PF3A,Problem & Fit (15%),Option A only,"A: why ML, why not a simpler non-AI solution","No real justification for ML, or the work could obviously be handled by a simpler non-AI approach.","Some justification exists, but it relies on generic claims or weak reasoning.",Gives a concrete reason a simpler non-AI solution is insufficient and why ML is appropriate beyond buzzwords.,Option A mandatory requirements: why a non-AI solution is insufficient; why ML is appropriate.
PF3B,Problem & Fit (15%),Option B only,"B: why research, not application + publishable scope","Could easily be framed as an application project, or the final scope is not plausibly publishable.","Some research motivation exists, but the case for non-application framing or publishability is uncertain.",Strong case that the work is genuinely research-driven and that the scope/output is plausibly publishable.,Option B mandatory conditions and hard rule: not application-framed; plausibly publishable.
PF4,Problem & Fit (15%),All,Real-world impact or scientific significance,"Importance is asserted only, with no credible evidence or reasoning.","Relevance is described, but evidence, constraints, or stakes are still weak.","Importance, constraints, and likely impact/significance are supported with evidence or credible domain reasoning.",Option A: real-world problem and market/pain point. Option B: inherently research-driven and significant.
PF5,Problem & Fit (15%),All,Project type/track fit and success criteria,"Chosen type/track does not fit the work, or success criteria are absent.","Fit is mostly reasonable, but success criteria or alignment are incomplete.",Chosen type/track is appropriate and success criteria are explicit and aligned.,Track alignment from prior rubric + announcement requirement to choose exactly one type.
TM1,Technical Rigor & Responsible ML (30%),All,"Task formulation, target, and data visibility","Inputs, outputs, task type, or data access/visibility are unclear or incorrect.","Most pieces are present, but key assumptions or data details are under-specified.","Task, target, data availability, and assumptions are correctly defined.","General ML requirements: clear problem formulation, proper data visibility."
TM2A,Technical Rigor & Responsible ML (30%),Option A only,A: explicit non-AI baseline,"No valid non-AI baseline, or comparison is not on the same task/data.","A baseline exists, but it is weak, unfair, or incomplete.",A clear non-AI baseline is implemented on the same task/data with a fair comparison.,Option A technical requirements: at least one explicit non-AI baseline.
TM2B,Technical Rigor & Responsible ML (30%),Option B only,B: baseline or prior-work comparison,No meaningful baseline or prior-work comparison is provided.,"A comparison exists, but it is weak, incomplete, or not quite fair.","Strong, fair comparison to appropriate baseline(s) or prior work on the same task/data.",General ML requirements: baseline comparison. Research expectation: competitive experimental grounding.
TM3,Technical Rigor & Responsible ML (30%),All,ML method choice and substantive contribution,"Method is inappropriate, unexplained, or just a thin wrapper around a pretrained model with no substantive ML work.","Method is somewhat justified, but choices or trade-offs are weakly defended.","Method choice is appropriate, clearly justified, and shows substantive ML design beyond simple wrapping.",Technical requirements + hard rule against just wrapping a pretrained model.
TM4,Technical Rigor & Responsible ML (30%),All,"Preprocessing, feature engineering, leakage control",Major leakage or preprocessing errors are present.,"Pipeline mostly works, but some steps or justifications are weak.","Preprocessing/features are correct, leakage-aware, and technically sound.","Prior rubric: preprocessing, feature engineering. General ML soundness."
TM5,Technical Rigor & Responsible ML (30%),All,"Evaluation protocol, splits, and metrics","Splits, metrics, or evaluation protocol are missing or seriously flawed.","Evaluation exists, but the design or metric choice is only partly convincing.","Train/validation/test (or equivalent), justified metrics, and a reproducible evaluation protocol are sound.","Sound experimentation: splits, metrics, justified evaluation metrics."
TM6,Technical Rigor & Responsible ML (30%),All,Error analysis and failure cases,No real error analysis or failure cases are shown.,"Some errors/examples are shown, but the analysis is shallow.",Concrete failure modes are analyzed and connected to model behavior.,Option A technical requirements: error analysis and failure cases. Critical thinking criterion.
TM7,Technical Rigor & Responsible ML (30%),All,Limitations and trade-offs,"Limitations are ignored, hidden, or misrepresented.","Some limitations are mentioned, but discussion is superficial.",Limitations and trade-offs are discussed honestly and with technical accuracy.,General ML requirements: honest discussion of limitations.
TM8B,Technical Rigor & Responsible ML (30%),Option B only,B: research artifact depth,No plausible research artifact beyond 'a model ran'.,"Some artifact exists (draft, analysis, ablation, dataset work), but it is shallow or incomplete.","Strong research artifact such as a paper draft, novel analysis, benchmark/dataset, or meaningful ablation package.","Option B expected outputs: paper draft, new benchmark/dataset, or novel experimental analysis."
TM9G,Technical Rigor & Responsible ML (30%),Graph projects only,Graph is a core modeling object,"Graph is only used for visualization/storage, or nodes/edges/relations are not clearly defined.","Graph has some modeling role, but representation is incomplete or weakly justified.","Graph is a core modeling object with clear nodes, edges, and relations.",Additional requirement for graph-based projects: graph must be core object; define nodes/edges/relations.
TM10G,Technical Rigor & Responsible ML (30%),Graph projects only,Graph justification and non-graph baseline,No non-graph baseline or no justification for the graph structure.,"One part exists, but the baseline or justification is weak/incomplete.",Fair non-graph baseline on the same raw data and a clear explanation of what graph structure adds.,Graph requirements: compare against non-graph baseline; justify why graph captures added information.
RM1,Technical Rigor & Responsible ML (30%),All,Explainability / interpretability,Not addressed.,"Mentioned or lightly demonstrated, but without real insight.",Meaningfully addressed with an interpretation or explainability method tied to decisions/errors.,Responsible ML requirement: explainability or interpretability.
RM2,Technical Rigor & Responsible ML (30%),All,Bias / fairness,Not addressed.,"Bias/fairness risks are mentioned, but no concrete check is shown.",A concrete fairness concern is identified and evaluated or mitigated.,Responsible ML requirement: bias or fairness concerns.
RM3,Technical Rigor & Responsible ML (30%),All,Privacy / data leakage risks,Not addressed.,"Risk is acknowledged, but no concrete handling is shown.",A concrete privacy or leakage risk is identified and addressed with checks or design decisions.,Responsible ML requirement: privacy or data leakage risks.
RM4,Technical Rigor & Responsible ML (30%),All,Robustness / distribution shift,Not addressed.,"Robustness or distribution shift is mentioned, but with little evidence.",Concrete robustness or distribution-shift analysis or mitigation is shown.,Responsible ML requirement: robustness or failure under distribution shift.
EN1,Deployment & Engineering (20%),All,Working Dockerized API,No working Dockerized API.,"Partial API or Docker setup exists, but it is not reliably runnable end-to-end.",Working Dockerized API with a clear run path.,Option A production requirement + final deliverable: running API.
EN2,Deployment & Engineering (20%),All,"Separation of data processing, model logic, and serving",Code is monolithic or the boundaries are tangled.,"Some separation exists, but boundaries are unclear.","Clear separation between data processing, model logic, and serving.","Option A production requirement: clear separation between data processing, model logic, and serving."
EN3,Deployment & Engineering (20%),All,Reproducible environment and run path,Project cannot be reliably reproduced or rerun.,"Some instructions/env files exist, but reproduction is incomplete or fragile.","Environment, versions, seeds/checkpoints, and instructions make reruns straightforward.",Production requirement: reproducible experiments.
EN4,Deployment & Engineering (20%),All,Functional UI or demo flow appropriate to project type,Missing or nonfunctional demo/UI.,"Minimal demo works, but it is incomplete, brittle, or poorly aligned to the project type.","Functional end-to-end demo/UI appropriate to the project type. For Option B, a minimal but effective demo endpoint/runner is acceptable.",Option A production requirement: minimal but functional user interface.
EN5,Deployment & Engineering (20%),All,Running deployed artifact or stable service,No deployed artifact/service and no clear evaluation run path.,"Runs locally or is partially deployed, but not reliably presented.","Running deployed artifact/API or a very clear, stable service setup suitable for evaluation.",Final deliverables: running API (cloud of your choice).
GD1,GitHub & Documentation (15%),All,Repository structure and naming,Repository structure is confusing or inconsistent.,"Mostly organized, but some folders/files are unclear.",Clear folder structure and naming throughout the repository.,Final deliverables: well-structured GitHub repository.
GD2,GitHub & Documentation (15%),All,"README with setup, run, usage",README is missing or insufficient for setup/run.,"README exists, but key setup, run, or usage details are missing.","README clearly covers setup, run, usage, and quick start.",Prior rubric: README with installation steps and usage examples.
GD3,GitHub & Documentation (15%),All,Method / architecture documentation,System or method is unclear from the repository.,"Some documentation exists, but the architecture/method is not fully understandable.",Documentation makes the system/method understandable without digging through code.,Prior rubric: system architecture and documentation.
GD4,GitHub & Documentation (15%),All,"Results tables, logs, experiment notes, ablations",No real experiment record or result trace is documented.,"Some results are shown, but logs/tables/ablations are incomplete.","Baseline comparisons, results tables, logs, or ablations are clearly documented.","Prior rubric: experiment notes, comparison tables, logs."
GD5,GitHub & Documentation (15%),All,"Data sources, limitations, ethics/compliance, deployment notes","Important context such as data source, limitations, or deployment notes is missing.","Some notes exist, but important context is still missing.","Data sources, limitations, ethics/compliance, and deployment notes are documented.",General ML limitation discussion + prior rubric deployment notes.
PR1,Presentation (10%),All,Problem framing and motivation clarity,Audience cannot tell what the project is solving or why it matters.,"Problem is stated, but value/motivation is not crisp.",Problem and motivation are immediately clear.,Poster/final presentation expectations: problem definition.
PR2,Presentation (10%),All,Method / architecture explanation,Pipeline explanation is confusing or incorrect.,"Mostly understandable, but key steps are missing or rushed.",Method/architecture explanation is logical and technically clear.,"Presentation expectations: architecture, ML approach, deployment plan."
PR3,Presentation (10%),All,"Results, demo, and visuals","Demo/results are unclear, unreadable, or misleading.","Some useful visuals/results are shown, but not fully clear.","Results/demo visuals are clear, relevant, and honest about performance.","Presentation expectations: evaluation, UI, results."
PR4,Presentation (10%),All,Q&A and project ownership,Team cannot answer basic technical questions.,"Team answers some questions, but shows important gaps or avoidance.",Team answers questions directly and shows strong project ownership.,Final presentation: 5 minutes + Q&A.
CI1,Creativity & Initiative (10%),All,Originality of idea or research angle,"Very derivative, with no meaningful original angle.","Some novelty in framing or combination exists, but originality is limited.","Clear original angle in idea, framing, or research question.",Prior rubric: novelty / innovation.
CI2,Creativity & Initiative (10%),All,Thoughtful design decisions and trade-offs,Decisions appear arbitrary or unexamined.,"Some trade-offs are mentioned, but not thoughtfully justified.",Design choices show thoughtful trade-off reasoning.,Prior rubric: thoughtful design decisions.
CI3,Creativity & Initiative (10%),All,Meaningful effort beyond minimum requirements,Only the minimum requirements are met.,"Some extra effort exists, but impact is limited.",Meaningful effort beyond minimum requirements with clear value.,Prior rubric: effort beyond the basic requirements.
CI4,Creativity & Initiative (10%),All,Purposeful extra technical features or polish,Extras are absent or gimmicky.,"Extras exist, but are weakly integrated.",Extra technical features or polish are purposeful and well integrated.,"Prior rubric: extra technical features, polished design."
BX1,Bonus (+3 max),Optional bonus,Edge/mobile deployment under real constraints,"Not present, simulated without constraints, or unjustified.","Some real edge/mobile work exists, but constraints or justification are weak.",Real edge/mobile deployment or on-device inference under meaningful constraints is justified.,Announcement bonus: edge/mobile deployment gets positive consideration.
BX2,Bonus (+3 max),Optional bonus,Responsible ML materially beyond minimum,Only meets the minimum Responsible ML requirement or duplicates base-rubric work.,"Goes somewhat beyond minimum with at least one extra check, tool, or experiment.",Materially exceeds minimum with strong additional analysis/tooling across responsible ML dimensions.,Optional bonus aligned with responsible ML depth; do not double count minimum required work.
BX3,Bonus (+3 max),Optional bonus,Exceptional extension beyond the base rubric,No exceptional extension beyond the base rubric.,"One standout extension exists, but depth is moderate.","Exceptional extension such as strong ablations, benchmark release, advanced tooling, or unusual production polish.",Prior bonus idea: extra-mile work beyond base requirements.
